state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served
ak,2026-03-14,2.3979400086720375,2.3979400086720375,0.0,14,5,0.21428571428571427,"92,00092,00092,00023,000220,00023,00022,00012,00023,00022,00012,00092,000220,00023,000"
ak,2026-03-21,,,0.0,14,5,0.0,"23,00012,00023,00022,00092,000220,00012,000220,00092,00023,00092,00023,00092,00022,000"
ak,2026-03-28,2.3979400086720375,2.3979400086720375,0.0,14,5,0.07142857142857142,"92,00012,00022,00023,00092,00023,00022,00012,00092,00092,000220,00023,00023,000220,000"
ak,2026-04-04,2.3979400086720375,2.3979400086720375,0.0,14,5,0.07142857142857142,"23,00023,00022,000220,000220,00012,00012,00092,00022,00023,00023,00092,00092,00092,000"
ak,2026-04-11,,,0.0,14,5,0.0,"23,00012,00092,000220,00023,00022,00092,00023,000220,00092,00023,00092,00012,00022,000"
ak,2026-04-18,2.3979400086720375,2.3979400086720375,0.0,14,5,0.07142857142857142,"23,00023,000220,00012,00023,00092,000220,00092,00012,00012,00092,00023,00022,00092,000"
ak,2026-04-25,,,0.0,13,5,0.0,"12,00092,00022,00092,00023,00023,00022,00092,00023,00092,00023,000220,00012,000"
ak,2026-05-02,2.5049766579032395,2.5049766579032395,0.08136181933944568,14,5,0.07142857142857142,"23,00023,00012,000220,00092,00023,000220,00012,00023,00022,00022,00092,00092,00092,000"
ak,2026-05-09,2.3979400086720375,2.3979400086720375,0.0,15,6,0.06666666666666667,"92,00023,00012,000220,0006,50022,00092,00023,00012,00022,00023,00092,000220,00023,00092,000"
ak,2026-05-16,2.3979400086720375,2.3979400086720375,0.0,14,6,0.21428571428571427,"92,00012,00092,00023,00023,00092,000220,0006,50092,000220,00022,00022,00023,00012,000"
ak,2026-05-23,2.4969906458195243,2.4969906458195243,0.14328734554595596,15,6,0.06666666666666667,"92,00023,00023,00023,00023,00012,00022,00092,000220,00092,00012,000220,00092,00022,0006,500"
ak,2026-05-30,2.3979400086720375,2.3979400086720375,0.0,15,6,0.3333333333333333,"23,00092,00023,000220,00023,00022,00012,00092,00023,00022,00092,00012,000220,0006,50092,000"
ak,2026-06-06,2.576783952737672,2.497995300161935,0.3275194484570342,15,6,0.13333333333333333,"220,00012,00022,00023,00092,00092,00023,00092,00012,0006,50023,00023,000220,00092,00022,000"
ak,2026-06-13,2.3979400086720375,2.3979400086720375,0.0,15,6,0.2,"23,00092,00022,00023,00092,00092,0006,50022,00023,000220,00012,000220,00023,00012,00092,000"
ak,2026-06-20,2.3979400086720375,2.3979400086720375,0.0,15,6,0.13333333333333333,"220,00012,00092,00012,00023,00022,00023,00092,00092,00023,00023,00092,00022,000220,0006,500"
ak,2026-06-27,2.3979400086720375,2.3979400086720375,0.0,15,6,0.26666666666666666,"23,00092,00092,00012,00092,000220,00023,00022,00092,00023,000220,00023,00012,00022,0006,500"
