state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served
vt,2026-03-07,3.658122995448129,3.3882232986316376,-0.49131974026001834,5,3,0.4,55000
vt,2026-03-14,3.180124958577728,2.8750612633917,-1.0179426897502628,5,3,0.6,55000
vt,2026-03-21,3.594910555030033,3.819372648562699,-0.39123564222981744,4,3,0.25,49000
vt,2026-03-28,4.102401219913503,3.98111989583699,0.12916320357088618,4,3,0.0,49000
vt,2026-04-04,3.947862635911958,3.945737715556548,-0.10755790250420971,3,3,0.0,40000
vt,2026-04-11,3.3500597366130447,3.401008991487598,-0.4667433437710273,4,2,0.25,30000
vt,2026-04-18,3.3338820088867314,2.8750612633917,-0.717384014565656,5,3,0.6,55000
vt,2026-04-25,3.261689706342529,3.1027741434768714,-0.7512236585736376,5,3,0.4,55000
vt,2026-05-02,3.057893977597719,2.8750612633917,-1.120433653801324,4,3,0.75,46000
vt,2026-05-09,2.9215230055719807,2.8750612633917,-1.2605728796987858,5,3,0.8,55000
vt,2026-05-16,3.592550798204491,3.6023586235188487,-0.5292925176311412,5,3,0.2,55000
vt,2026-05-23,3.2125772523850094,3.1494389332262407,-0.8294495033191283,5,3,0.4,55000
vt,2026-05-30,2.9271674735794613,2.8750612633917,-1.2421578540743625,4,3,0.75,46000
vt,2026-06-06,3.047904001288727,2.8750612633917,-1.094669426221908,5,3,0.6,55000
vt,2026-06-13,2.8750612633917,2.8750612633917,-1.33546926506815,5,3,1.0,55000
vt,2026-06-20,2.8750612633917,2.8750612633917,-1.3261531287934407,4,3,1.0,46000
wa,2021-10-16,5.338724544095375,5.612222758864063,-2.011606748384114,9,3,0.0,1213827
wa,2021-10-23,6.172974091958497,6.1484343753351265,-0.42742841122573966,9,3,0.0,1213827
wa,2021-10-30,5.961579074304744,6.016160427861837,-0.831989906816473,9,3,0.0,1213827
wa,2021-11-06,5.666729784807673,5.6598245924759665,-1.3155890457070285,9,3,0.0,1213827
wa,2021-11-20,5.729754117399428,5.728466520925417,-1.3147658750730604,13,5,0.0,1336827
wa,2021-12-04,5.782939939916873,5.7330133892279225,-1.2696157067395573,11,4,0.0,1420000
wa,2021-12-11,5.513008197133529,5.541457092878284,-1.7381266638959751,15,5,0.0,1681827
wa,2021-12-18,5.769323928480582,5.764657450569974,-1.298048614838557,15,5,0.0,1681827
wa,2021-12-25,5.793562884445372,5.66212085085283,-1.2679924526722055,9,5,0.0,896218
wa,2022-01-01,6.41111045714401,6.527314544150105,-0.2540753479280392,8,5,0.0,776218
wa,2022-01-15,6.893443954729073,6.881289508143036,0.5904190323157087,15,5,0.0,1681827
wa,2022-01-22,7.002730785919014,6.927171844099632,0.78750582999122,15,5,0.0,1681827
wa,2022-01-29,6.773497566806623,6.762966010307023,0.38872140385198584,15,5,0.0,1681827
wa,2022-02-05,6.472433155242519,6.489777181033472,-0.11290989577295169,15,5,0.0,1681827
wa,2022-02-12,5.9086417449906445,5.790626590208583,-1.082545896762362,15,5,0.0,1681827
wa,2022-02-19,5.854293255117823,5.869310551848999,-1.1380188683170835,15,5,0.0,1681827
wa,2022-02-26,5.518034515356983,5.4345789630324575,-1.7080746625889365,14,5,0.0,1561827
wa,2022-03-05,5.3848059777155814,5.343722209537554,-1.938273071541939,17,6,0.0,1711827
wa,2022-03-12,5.2423859129467,5.309719661911458,-2.2355385236339473,17,6,0.0,1711827
wa,2022-03-19,5.333382723938861,5.098977131425558,-2.072560051324744,16,6,0.125,1652218
wa,2022-03-26,5.859523068790682,5.860078378005859,-1.1607504479477135,17,6,0.0,1711827
wa,2022-04-02,5.736084543323199,5.7887657856098,-1.3605386047339316,17,6,0.0,1711827
wa,2022-04-09,5.84348296149476,5.801948947106528,-1.2004653222110944,15,6,0.0,1592609
wa,2022-04-16,6.234199985754151,6.178821334411645,-0.5402818552658433,17,6,0.0,1711827
wa,2022-04-23,6.394850062203181,6.376437706786651,-0.24279145430395802,17,6,0.0,1711827
