state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,regime,admits_per100k,admits_next_week,admits_this_week,y_reg_next_admits,pct_change_next,y_surge_next_week,next_week_end,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3,split_era
ny,2022-03-26,3.4370925241261236,3.7979381693336833,-0.5018552197456309,64,53,0.4375,2975267,772.0,0.9706,mandatory_pre,25.94725112065573,876.0,772.0,876.0,0.13471502590673576,0,2022-04-02,2.915251360748249,2.790640275448249,3.1035995996101615,0.5218411633778746,3.047661386774207,train
ny,2022-04-02,3.658810503985075,4.110589710299249,-0.1766576020048997,67,59,0.3582089552238806,3012489,876.0,0.9706,mandatory_pre,29.078944354651586,1089.0,876.0,1089.0,0.24315068493150685,0,2022-04-09,3.4370925241261236,2.915251360748249,2.790640275448249,0.22171797985895125,3.337051462953149,train
ny,2022-04-09,3.9628105703947463,4.191895452654766,0.0974207405105285,58,57,0.1896551724137931,2916193,1089.0,0.9706,mandatory_pre,37.34320739402364,1371.0,1089.0,1371.0,0.25895316804407714,1,2022-04-16,3.658810503985075,3.4370925241261236,2.915251360748249,0.30400006640967137,3.686237866168648,train
ny,2022-04-16,3.576015476914845,3.934879797391205,-0.3885500842923971,70,60,0.4142857142857143,4015732,1371.0,0.9706,mandatory_pre,34.14072453042185,1709.0,1371.0,1709.0,0.24653537563822028,1,2022-04-23,3.9628105703947463,3.658810503985075,3.4370925241261236,-0.3867950934799014,3.732545517098222,train
ny,2022-04-23,4.34116663241789,4.52172633728741,0.3653596909491117,85,69,0.1411764705882353,4900961,1709.0,0.9706,mandatory_pre,34.87071209095522,2053.0,1709.0,2053.0,0.20128730251609128,1,2022-04-30,3.576015476914845,3.9628105703947463,3.658810503985075,0.765151155503045,3.9599975599091604,train
ny,2022-04-30,4.390760958880508,4.565847818673518,0.4742109495431751,97,78,0.1237113402061855,5788160,2053.0,0.9706,mandatory_pre,35.46895731977001,2526.0,2053.0,2526.0,0.23039454456892353,1,2022-05-07,4.34116663241789,3.576015476914845,3.9628105703947463,0.049594326462617744,4.102647689404414,train
ny,2022-05-07,4.669088352901519,4.799340549453582,0.698199559039326,99,81,0.0808080808080808,5830232,2526.0,0.9706,mandatory_pre,43.325891662630234,2761.0,2526.0,2761.0,0.09303246239113222,0,2022-05-14,4.390760958880508,4.34116663241789,3.576015476914845,0.27832739402101137,4.4670053147333055,train
ny,2022-05-14,4.261327790036693,4.3560258571931225,0.2684890084224975,103,82,0.203883495145631,5830651,2761.0,0.9706,mandatory_pre,47.353202927083096,2836.0,2761.0,2836.0,0.027164070988772184,0,2022-05-21,4.669088352901519,4.390760958880508,4.34116663241789,-0.4077605628648264,4.440392367272906,train
ny,2022-05-21,4.510206743509671,4.565790086366823,0.5346944775331496,100,80,0.11,5871989,2836.0,0.9706,mandatory_pre,48.29709319959557,2600.0,2836.0,2600.0,-0.08321579689703808,0,2022-05-28,4.261327790036693,4.669088352901519,4.390760958880508,0.24887895347297828,4.48020762881596,train
ny,2022-05-28,4.248560787348442,4.426511261364575,0.2678422351904406,105,82,0.1714285714285714,6123131,2600.0,0.9706,mandatory_pre,42.46193654847495,2200.0,2600.0,2200.0,-0.15384615384615385,0,2022-06-04,4.510206743509671,4.261327790036693,4.669088352901519,-0.261645956161229,4.340031773631601,train
ny,2022-06-04,4.092365487880934,4.264817823009537,0.1095731109716625,99,81,0.2323232323232323,5245587,2200.0,0.9706,mandatory_pre,41.94001548349117,1888.0,2200.0,1888.0,-0.14181818181818182,0,2022-06-11,4.248560787348442,4.510206743509671,4.261327790036693,-0.156195299467508,4.283711006246349,train
ny,2022-06-11,3.855972345756325,4.033423755486949,-0.1084734085352237,105,86,0.3714285714285714,5954557,1888.0,0.9706,mandatory_pre,31.706808751683795,1840.0,1888.0,1840.0,-0.025423728813559324,0,2022-06-18,4.092365487880934,4.248560787348442,4.510206743509671,-0.23639314212460905,4.0656328736619,train
ny,2022-06-18,4.690992362214669,4.587705165417105,0.3398062934323095,130,94,0.123076923076923,20498154,1840.0,0.9706,mandatory_pre,8.976418071598058,1871.0,1840.0,1871.0,0.01684782608695652,0,2022-06-25,3.855972345756325,4.092365487880934,4.248560787348442,0.8350200164583446,4.213110065283975,train
ny,2022-06-25,4.4285745475689975,4.41161970596323,0.062445746576615,129,97,0.2635658914728682,19615189,1871.0,0.9706,mandatory_pre,9.538526495972075,2050.0,1871.0,2050.0,0.0956707642971673,0,2022-07-02,4.690992362214669,3.855972345756325,4.092365487880934,-0.26241781464567193,4.325179751846664,train
ny,2022-07-02,4.465158700256874,4.432895359348143,0.123314439242632,128,94,0.25,21014953,2050.0,0.9706,mandatory_pre,9.754958766740996,2289.0,2050.0,2289.0,0.11658536585365854,1,2022-07-09,4.4285745475689975,4.690992362214669,3.855972345756325,0.03658415268787607,4.528241870013513,train
ny,2022-07-09,4.9530845453548675,4.850146293295801,0.5835034377377329,122,93,0.0737704918032786,20976219,2289.0,0.9559,mandatory_pre,10.912357465375432,2559.0,2289.0,2559.0,0.11795543905635648,1,2022-07-16,4.465158700256874,4.4285745475689975,4.690992362214669,0.48792584509799397,4.615605931060245,train
ny,2022-07-16,4.999658051695108,4.8555191556678,0.6691625574534911,131,98,0.099236641221374,20302287,2559.0,0.9657,mandatory_pre,12.604491306816813,2657.0,2559.0,2657.0,0.03829620945681907,0,2022-07-23,4.9530845453548675,4.465158700256874,4.4285745475689975,0.04657350634024038,4.805967099102283,train
ny,2022-07-23,5.0769592147171965,4.910090545594068,0.7661830133072385,135,100,0.037037037037037,21145668,2657.0,0.9657,mandatory_pre,12.565221396647294,2631.0,2657.0,2631.0,-0.00978547233722243,0,2022-07-30,4.999658051695108,4.9530845453548675,4.465158700256874,0.07730116302208856,5.00990060392239,train
ny,2022-07-30,4.970179482237907,4.92787505736764,0.6305164727318985,132,97,0.0681818181818181,21148540,2631.0,0.9657,mandatory_pre,12.440575094072688,2514.0,2631.0,2514.0,-0.04446978335233751,0,2022-08-06,5.0769592147171965,4.999658051695108,4.9530845453548675,-0.10677973247928918,5.015598916216737,train
ny,2022-08-06,4.958522858736877,4.838849090737256,0.6342717861471637,139,103,0.0863309352517985,21221439,2514.0,0.9657,mandatory_pre,11.846510502892853,2309.0,2514.0,2309.0,-0.08154335719968178,0,2022-08-13,4.970179482237907,5.0769592147171965,4.999658051695108,-0.011656623501030694,5.00188718523066,train
ny,2022-08-13,5.07509238099308,5.054991647409946,0.7729533301299573,142,105,0.0492957746478873,21312323,2309.0,0.9657,mandatory_pre,10.83410757241245,2303.0,2309.0,2303.0,-0.00259852750108272,0,2022-08-20,4.958522858736877,4.970179482237907,5.0769592147171965,0.11656952225620376,5.001264907322621,train
ny,2022-08-20,5.001746369879,5.060697840353612,0.7018972772046072,145,107,0.0620689655172413,21448507,2303.0,0.9657,mandatory_pre,10.737344095791842,2180.0,2303.0,2180.0,-0.05340859748154581,0,2022-08-27,5.07509238099308,4.958522858736877,4.970179482237907,-0.07334601111408023,5.011787203202986,train
ny,2022-08-27,4.987846006183298,4.978180516937414,0.7322074469733999,149,112,0.0335570469798657,21399863,2180.0,0.9657,mandatory_pre,10.186981103570616,2047.0,2180.0,2047.0,-0.06100917431192661,0,2022-09-03,5.001746369879,5.07509238099308,4.958522858736877,-0.013900363695702467,5.021561585685126,train
ny,2022-09-03,4.826213719477521,4.766798898695736,0.5597125464040292,158,116,0.0316455696202531,22978830,2047.0,0.9657,mandatory_pre,8.908199416593447,1910.0,2047.0,1910.0,-0.06692721055202736,0,2022-09-10,4.987846006183298,5.001746369879,5.07509238099308,-0.16163228670577645,4.938602031846606,train
ny,2022-09-10,4.515855363749161,4.5921540303226855,0.365851493763018,144,117,0.1319444444444444,15211786,1910.0,0.9657,mandatory_pre,12.556053575826008,1940.0,1910.0,1940.0,0.015706806282722512,0,2022-09-17,4.826213719477521,4.987846006183298,5.001746369879,-0.31035835572836046,4.77663836313666,train
ny,2022-09-17,4.903865395878867,4.923244018630276,0.6098255534000755,161,117,0.0683229813664596,23116803,1940.0,0.9657,mandatory_pre,8.392163916437754,2157.0,1940.0,2157.0,0.11185567010309279,1,2022-09-24,4.515855363749161,4.826213719477521,4.987846006183298,0.3880100321297064,4.748644826368516,train
