state_territory,week_end,log10_conc_mean,log10_conc_median,conc_site_z_mean,n_samples,n_sites,pct_nondetect,pop_served,admits,coverage,admits_per100k,log10_conc_lag1,log10_conc_lag2,log10_conc_lag3,conc_delta_1w,conc_roll3,split_era,month,epiweek_of_year,regime_mandatory_post,regime_mandatory_pre,season_fall,season_spring,season_summer,season_winter,region_midwest,region_northeast,region_south,region_territory,region_west
mi,2022-10-29,4.686903446507867,4.743368142317092,0.7317434151549577,80,51,0.0,8228024,982.0,0.9548,11.934821774948638,4.439915501016584,4.520206643883244,4.372216429614122,0.2469879454912833,4.549008530469231,train,10,43,False,True,True,False,False,False,True,False,False,False,False
mi,2022-11-05,4.550493617497004,4.600125491308411,0.535148939925732,73,47,0.0,8143222,933.0,0.9548,11.457381365754244,4.686903446507867,4.439915501016584,4.520206643883244,-0.136409829010863,4.559104188340484,train,11,44,False,True,True,False,False,False,True,False,False,False,False
mi,2022-11-12,4.537027397281056,4.675205061191451,0.5108093043681052,74,48,0.0,7988022,812.0,0.9548,10.165219875458533,4.550493617497004,4.686903446507867,4.439915501016584,-0.0134662202159479,4.591474820428642,train,11,45,False,True,True,False,False,False,True,False,False,False,False
mi,2022-11-19,4.582622243131607,4.710436980718592,0.5815537460963314,80,51,0.0,8258180,802.0,0.9548,9.711582939582328,4.537027397281056,4.550493617497004,4.686903446507867,0.0455948458505508,4.556714419303222,train,11,46,False,True,True,False,False,False,True,False,False,False,False
mi,2022-11-26,4.711972234418303,4.808892615596236,0.5907309591637157,73,51,0.0,7553933,793.0,0.9548,10.49784264700256,4.582622243131607,4.537027397281056,4.550493617497004,0.1293499912866957,4.610540624943655,train,11,47,False,True,True,False,False,False,True,False,False,False,False
mi,2022-12-03,4.795239075607226,4.932799552462524,0.8679371872188496,96,49,0.0,12114998,871.0,0.9548,7.189435772090099,4.711972234418303,4.582622243131607,4.537027397281056,0.083266841188923,4.696611184385712,train,12,48,False,True,False,False,False,True,True,False,False,False,False
mi,2022-12-10,4.930966468062543,5.082682237539026,1.037782412861315,105,54,0.0,12350552,998.0,0.9548,8.080610486073821,4.795239075607226,4.711972234418303,4.582622243131607,0.1357273924553173,4.812725926029358,train,12,49,False,True,False,False,False,True,True,False,False,False,False
mi,2022-12-17,4.949352527665301,5.180412730381023,1.1546126852481509,106,55,0.0,11761343,1157.0,0.9677,9.83731194643333,4.930966468062543,4.795239075607226,4.711972234418303,0.0183860596027578,4.891852690445023,train,12,50,False,True,False,False,False,True,True,False,False,False,False
mi,2022-12-24,4.747800427592885,4.932780959345942,0.8757548197227393,78,58,0.0,8803701,1180.0,0.9677,13.403453842878127,4.949352527665301,4.930966468062543,4.795239075607226,-0.2015521000724156,4.8760398077735765,train,12,51,False,True,False,False,False,True,True,False,False,False,False
mi,2022-12-31,4.281887000560282,4.704505679821175,0.5548345950021638,25,16,0.0,6660379,1184.0,0.9613,17.776766157000974,4.747800427592885,4.949352527665301,4.930966468062543,-0.4659134270326035,4.659679985272823,train,12,52,False,True,False,False,False,True,True,False,False,False,False
